,ID,DATE,RATIO,USERS,COMMENT
0,0,"jueves 18 mayo, 2023",5,David,"Muy recomendable. El bote cunde, hidrata muy bien, sirve para todos los juguetes. Incoloro, sin sabor. Puede que un poco pegajoso al principio, pero nada más. Muy contento."
1,0,"miércoles 12 abril, 2023",5,Ferran,"Es la primera vez que compro este lubricante y pese a que siempre se pueden descubrir cosas mejores, me parece que este se va a convertir en mi lubricante número 1 diario para usar con mis juguetes. Espero que con las chicas funcione igual de bien."
2,0,"lunes 10 abril, 2023",5,Sergio,"He probado varios tipos de lubricante y este de momento es el mejor. Lo he usado con masturbadores, para el pene y mano y para el ano y va perfecto en todo"
3,0,"lunes 23 enero, 2023",5,Jaime,Perfecto para embadurnarte el pincelin y meter hasta el último centímetro
4,0,"miércoles 11 enero, 2023",5,YASMINA,"Buen producto, tanto para el cuerpo a cuerpo como para lubricar los jueguetes. Es una compra segura y muy acertada."
5,0,"jueves 05 enero, 2023",5,Irene,"Tal y como se describe, simple y efectivo, nos ha gustado mucho :)"
6,0,"jueves 22 diciembre, 2022",4,Marta,"Cumple su funcion como lubricante con base de agua, no se puede pedir mas. Además este tamaño es perfecto para viajar."
7,0,"martes 13 diciembre, 2022",3,Francisco Javier,"Fue el primer lubricante que compramos en esta página. El tacto es correcto y al ser con base de agua es bastante versátil. Cumple su función perfectamente, aunque se agradecería que su efecto fuera más duradero y no se fuera tan ""rápido""."
8,0,"domingo 04 diciembre, 2022",5,Meri,"El lubricante Desliz de agua es indispensable para toda experiencia sexual, económico, sin olor y totalmente efectivo, lo uso para los dildos y es una maravilla."
9,0,"domingo 20 noviembre, 2022",5,Enrique,"Buenisimo lubricante calidad precio, desde que lo probamos es el unico que compramos, no deja pegajoso y para sexo oral no da sabor lo cual nos gusta, y mi mujer tiene ls piel intima muy delicada fon otros lubricantes le irritan pero con este nunca le ha pasado, lo recomendamos,este tamaño es comodo y duradero"
10,0,"martes 20 septiembre, 2022",5,luis ernesto,"Me gusta muchísimo, envase discreto, sin olor, fácil de limpiar y sobre todo muy efectivo tanto para el acto real como para el uso de jueguetes. Además de esto a un precio muy asequible. Amantis tuvo un gran acierto aquí"
11,0,"lunes 22 agosto, 2022",5,Paula,Buena textura y no tiene olor ni sabor desagradable.rnAdemás con muy poco sirve para mucho!
12,0,"martes 09 agosto, 2022",5,Guillermo,Muy buen producto. Buen precio y sensación muy agradable
13,0,"domingo 07 agosto, 2022",3,Helena,"No está mal, pero hay mejores. Es un poco pegajoso (comparado con el Toko aqua, por ejemplo, aunque no es nada pegajoso comparado con el típico de durex). No dura mucho, así que hay que ir añadiendo, y se gasta más rápido. Hay que decir que los de sabores que dan en monodosis funcionan mejor, y la relación calidad-precio de este es muy buena. Si buscáis un lubricante decente a buen precio, es este. Si queréis pagar más, buscad uno de Toko"
14,0,"sábado 23 julio, 2022",5,Alvaro,"Su tacto es agradable, acuoso y no aceitoso. Además, dura mucho y no se seca rápido ni se queda pegajoso, como pasa con otros lubricantes. Diría que es el lubricante más agradable que he probado."
15,0,"miércoles 18 mayo, 2022",4,Carmen,"Es un gran lubricante. La textura es buena, y no tiene sabor. El único problema es que me causa algo de escozor en algunas zonas, y no sabemos por qué."
